price,location,bedrooms,bathrooms,area,road_access,facing,floor,parking,furnish_status
80000000.0,"bhaisepati, lalitpur",5.0,3.0,1700.0,13.0,south,2.5,3,semi-furnished
40000000.0,"bhaisepati, lalitpur",6.0,4.0,1700.0,13.0,south,3.0,3,semi-furnished
37500000.0,"lasuntar, kathmandu",6.0,4.0,1700.0,14.0,east,3.0,3,semi-furnished
32000000.0,"tokha saraswoti, kathmandu",6.0,3.0,900.0,12.0,south-west,2.5,9,un-furnished
38000000.0,"lasuntar, kathmandu",5.0,3.0,1700.0,13.0,south-west,2.5,3,semi-furnished
35000000.0,"sundarbasti, kathmandu",6.0,4.0,1700.0,13.0,west,3.0,3,semi-furnished
52500000.0,"bhangal , kathmandu",5.0,3.0,1700.0,12.0,west,2.5,4,semi-furnished
18000000.0,"rabi bhawan, kathmandu",7.0,5.0,1700.0,4.0,north,2.5,4,un-furnished
30000000.0,"nagdhunga, kathmandu",7.0,5.0,2200.0,12.0,north-west,2.5,6,semi-furnished
38000000.0,"lasuntar, kathmandu",6.0,4.0,1000.0,13.0,north-west,3.0,3,semi-furnished
32500000.0,"chunikhel, kathmandu",6.0,4.0,1700.0,13.0,south,3.0,3,semi-furnished
46500000.0,"chunikhel, kathmandu",7.0,5.0,1700.0,13.0,east,3.0,3,semi-furnished
32500000.0,"lasuntar, kathmandu",6.0,4.0,1700.0,13.0,south,3.0,3,semi-furnished
44000000.0,"lasuntar, kathmandu",6.0,4.0,1000.0,13.0,west,3.0,3,full-furnished
29900000.000000004,"lasuntar, kathmandu",6.0,4.0,1000.0,13.0,east,3.0,3,semi-furnished
32500000.0,"chunikhel, kathmandu",6.0,4.0,1700.0,13.0,south-west,3.0,4,semi-furnished
37500000.0,"imadol, lalitpur",5.0,3.0,1700.0,13.0,north,3.0,3,full-furnished
39400000.0,"shital height, lalitpur",6.0,4.0,1700.0,13.0,east,3.0,3,full-furnished
45000000.0,"baluwakhani, kathmandu",6.0,4.0,1000.0,13.0,south,3.0,3,un-furnished
31000000.0,"dhapasi, kathmandu",6.0,4.0,1000.0,16.0,south,3.0,3,un-furnished
53000000.0,"dhapasi, kathmandu",6.0,4.0,1000.0,13.0,south-west,3.0,3,semi-furnished
26500000.0,"imadol, lalitpur",6.0,4.0,1700.0,13.0,west,3.0,3,semi-furnished
38000000.0,"shital height, lalitpur",6.0,4.0,1700.0,13.0,east,3.0,3,full-furnished
35000000.0,"ochu height, lalitpur",6.0,4.0,1700.0,13.0,north-west,3.0,4,full-furnished
36000000.0,"ochu height, lalitpur",6.0,4.0,1700.0,13.0,north-east,3.0,3,full-furnished
