price,location,property_type,bedrooms,bathrooms,area,road_access,facing,floor,parking,furnish_status
Price on call,"Dhapakhel, Lalitpur",,5,3,2634 Sq. Ft.,13 Feet,North,3.5,1 Car  & 3 Bikes,Un-Furnished
Rs. 6.5 Cr,"Jwagal, Lalitpur",,2,5,,20 Feet,East,4,1 Car  & 4 Bikes,
Rs. 4.5 Cr,"Imadol, Lalitpur",,5,3,0 Sq. Ft.,13 Feet,North-West,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 1.8 Cr,"Shital Height, Lalitpur",,3,2,0 Sq. Ft.,13 Feet,East,1.5,1 Car  & 2 Bikes,Full-Furnished
Rs. 2.6 Cr,"Shital Height, Lalitpur",,5,4,,20 Feet,South,3,1 Car  & 4 Bikes,Full-Furnished
Rs. 4.35 Cr,"Bhaisepati, Lalitpur",,5,4,,20 Feet,East,2.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 16.5 Cr,"Dhungedhara, Kathmandu",,5,4,,13 Feet,South,3,7 Cars  & 5 Bikes,Semi-Furnished
Rs. 1.25 Lac/y,"Hattigauda, Kathmandu",,5,3,0 Sq. Ft.,20 Feet,East,2.5,2 Cars  & 3 Bikes,Full-Furnished
Rs. 2.35 Cr,"Lubhu, Lalitpur",,6,4,2200 Sq. Ft.,22 Feet,West,2.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 2.75 Cr,"Balkot, Bhaktapur",,5,4,2200 Sq. Ft.,13 Feet,West,3.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 3.8 Cr,"Imadol, Lalitpur",,7,5,,13 Feet,East,3.5,2 Cars  & 3 Bikes,Full-Furnished
Rs. 3.2 Cr,"Shital Height, Lalitpur",,5,4,,13 Feet,East,3,1 Car  & 3 Bikes,Semi-Furnished
Rs. 2.2 Cr,"Thamel, Kathmandu",,4,3,,4 Feet,East,2.5,1 Car  & 3 Bikes,Full-Furnished
Rs. 11.5 Cr,"Sinamangal, Kathmandu",,4,3,,20 Feet,West,2,2 Cars  & 5 Bikes,Full-Furnished
Rs. 4 Cr,"Harisiddhi, Lalitpur",,6,4,,12 Feet,East,2.5,2 Cars  & 5 Bikes,Full-Furnished
Rs. 1.5 Lac/m,"Bhaisepati, Lalitpur",,3,3,,,,2.5,2 Cars  & 9 Bikes,Semi-Furnished
Rs. 2.8 Cr,"Bhaisepati, Lalitpur",,6,3,,15 Feet,South,2.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 2.2 Cr,"Bhaisepati, Lalitpur",,6,4,,14 Feet,North,3.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.25 Cr,"Bhaisepati, Lalitpur",,6,4,,13 Feet,West,2,1 Car  & 4 Bikes,Semi-Furnished
Rs. 6 Cr,"Kalopool, Kathmandu",,8,5,3698 Sq. Ft.,13 Feet,East,3.5,2 Cars  & 4 Bikes,Full-Furnished
Rs. 4.7 Cr,"Nakhipot, Lalitpur",,6,5,3249 Sq. Ft.,20 Feet,East,2.5,2 Cars  & 4 Bikes,Full-Furnished
Rs. 2.7 Cr,"Bhaisepati, Lalitpur",,6,3,,14 Feet,West,2.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.8 Cr,"Bhaisepati, Lalitpur",,6,2,,13 Feet,North,2.5,1 Car  & 4 Bikes,Full-Furnished
Price on call,"Jhamsikhel, Lalitpur",,5,5,2900 Sq. Ft.,13 Feet,,2.5,4 Cars  & 5 Bikes,Un-Furnished
Price on call,"Gothatar, Kathmandu",,10,4,4500 Sq. Ft.,14 Feet,South,4.5,4 Cars  & 9 Bikes,Un-Furnished
Rs. 11.5 Cr,"New Road, Kathmandu",,2,5,,26 Feet,East,6,,Full-Furnished
Rs. 12 Cr,"Tahachal, Kathmandu",,9,4,,24 Feet,South,6,2 Cars  & 2 Bikes,Semi-Furnished
Rs. 3 Cr,"Bhaisepati, Lalitpur",,6,3,,13 Feet,East,3,1 Car  & 4 Bikes,Semi-Furnished
Price on call,"Bhaisepati, Lalitpur",,5,6,00 Sq. Ft.,20 Feet,South-East,2.5,3 Cars  & 4 Bikes,Semi-Furnished
Rs. 3.9 Cr,"Bhaisepati, Lalitpur",,6,5,,20 Feet,South-East,3.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 2.45 Cr,"Dhapakhel, Lalitpur",,4,4,1500 Sq. Ft.,13 Feet,South,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.27 Cr,"Thamel, Kathmandu",,5,4,1000 Sq. Ft.,13 Feet,East,2.5,3 Bikes,Semi-Furnished
Rs. 3 Cr,"Lubhu, Lalitpur",,4,4,1500 Sq. Ft.,20 Feet,South-East,3,2 Cars  & 2 Bikes,Semi-Furnished
Rs. 2.25 Cr,"Golfutar, Kathmandu",,4,3,,14 Feet,East,3,1 Car  & 1 Bike,Semi-Furnished
Rs. 2.75 Cr,"Lubhu, Lalitpur",,6,5,2800 Sq. Ft.,13 Feet,East,3,1 Car  & 5 Bikes,Semi-Furnished
Rs. 4.75 Cr,"Pasikot, Kathmandu",,4,2,,20 Feet,East,2.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.9 Cr,"Imadol, Lalitpur",,7,5,,16 Feet,North,3.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 3.25 Cr,"Sanagaun, Lalitpur",,4,3,,20 Feet,East,2.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.25 Cr,"Sanagaun, Lalitpur",,7,4,00 Sq. Ft.,20 Feet,South,3,2 Cars  & 4 Bikes,Un-Furnished
Rs. 6.3 Cr,"Shital Height, Lalitpur",,5,4,,13 Feet,South,3.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 5.35 Cr,"Shital Height, Lalitpur",,6,4,,13 Feet,South,3.5,2 Cars  & 4 Bikes,Semi-Furnished
Price on call,"Banasthali, Kathmandu",,7,4,2800 Sq. Ft.,13 Feet,North,3.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 3.95 Cr,"Shital Height, Lalitpur",,5,3,,13 Feet,South,3.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 4.5 Cr,"Dholahiti, Lalitpur",,6,4,1000 Sq. Ft.,13 Feet,South-East,3,1 Car  & 3 Bikes,Full-Furnished
Rs. 4.1 Cr,"Imadol, Lalitpur",,7,5,00 Sq. Ft.,13 Feet,East,3,2 Cars  & 5 Bikes,Semi-Furnished
Rs. 4.2 Cr,"Shital Height, Lalitpur",,7,5,,13 Feet,South,3.5,2 Cars  & 5 Bikes,Semi-Furnished
Rs. 4.25 Cr,"Shital Height, Lalitpur",,7,5,,13 Feet,South,3.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 2.8 Cr,"Shital Height, Lalitpur",,5,4,,13 Feet,West,3.5,1 Car  & 4 Bikes,Semi-Furnished
Price on call,"Tokha, Kathmandu",,3,3,,12 Feet,West,2.5,2 Cars  & 7 Bikes,Full-Furnished
Rs. 3.6 Cr,"Chobhar, Kathmandu",,4,3,,13 Feet,South,3,1 Car,Semi-Furnished
Rs. 3 Cr,"Shital Height, Lalitpur",,5,4,,13 Feet,East,2.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 3.65 Cr,"Bhaisepati, Lalitpur",,4,5,,13 Feet,North,2.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.9 Cr,"Shital Height, Lalitpur",,5,5,,12 Feet,South-East,3.5,2 Cars  & 5 Bikes,Full-Furnished
Rs. 4.1 Cr,"Bhaisepati, Lalitpur",,4,3,,16 Feet,North,2.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.35 Cr,"Imadol, Lalitpur",,8,4,,13 Feet,South,3.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 1.75 Lac/m,"Bhaisepati, Lalitpur",,5,4,,13 Feet,East,2,1 Car  & 4 Bikes,Un-Furnished
Rs. 3.7 Cr,"Kadaghari, Kathmandu",,7,5,2400 Sq. Ft.,22 Feet,South,4,5 Cars  & 5 Bikes,Semi-Furnished
Rs. 2.75 Lac/m,"Gairidhara, Kathmandu",,,4,3000 Sq. Ft.,13 Feet,South,2.5,5 Cars  & 20 Bikes,Semi-Furnished
Rs. 1.25 Lac/m,"Narayanthan , Kathmandu",,5,4,,16 Feet,East,2.5,5 Cars  & 9 Bikes,Semi-Furnished
Rs. 1.6 Cr,"Kapan, Kathmandu",,3,2,,13 Feet,,2.5,,Un-Furnished
Rs. 2.8 Cr,"Rudreshwor, Kathmandu",,6,3,1500 Sq. Ft.,12 Feet,East,2.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 4.7 Cr,"Sunakothi, Lalitpur",,6,6,2700 Sq. Ft.,20 Feet,South-East,3,3 Cars  & 4 Bikes,Full-Furnished
Rs. 2.3 Cr,"Imadol, Lalitpur",,5,3,,13 Feet,North-East,3,1 Car  & 4 Bikes,Full-Furnished
Price on call,"Tulsipur, Palpa",,5,3,153 Sq. Ft.,13 Feet,North-East,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 3.9 Cr,"Chyau Danda, Lalitpur",,5,4,2200 Sq. Ft.,13 Feet,South,2.5,2 Cars  & 5 Bikes,Semi-Furnished
Rs. 3.6 Cr,"Kusunti, Lalitpur",,5,4,1800 Sq. Ft.,13 Feet,,3,1 Car  & 3 Bikes,Un-Furnished
Rs. 2.5 Cr,"Chyasundole, Kathmandu",,6,4,1200 Sq. Ft.,13 Feet,South,2.5,1 Car  & 1 Bike,Un-Furnished
Rs. 2.8 Cr,"Tokha, Kathmandu",,6,4,1200 Sq. Ft.,13 Feet,South,2.5,1 Car  & 1 Bike,Un-Furnished
Rs. 1.8 Cr,"Tokha, Kathmandu",,7,4,1200 Sq. Ft.,20 Feet,East,2.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 3.3 Cr,"Bagdol, Lalitpur",,4,4,1000 Sq. Ft.,12 Feet,South-West,2.5,1 Car  & 2 Bikes,
Rs. 4.5 Cr,"Satungal, Kathmandu",,6,4,1800 Sq. Ft.,13 Feet,South-East,2.5,2 Cars  & 4 Bikes,
Rs. 2.65 Cr,"Chunikhel, Kathmandu",,5,3,1000 Sq. Ft.,12 Feet,North-East,3,1 Car  & 3 Bikes,
Rs. 3.79 Cr,"Bouddha, Kathmandu",,4,3,1000 Sq. Ft.,13 Feet,South-West,2.5,2 Cars  & 4 Bikes,
Rs. 1.14 Cr,"Sanepa, Lalitpur",,5,4,,13 Feet,East,2.5,2 Cars  & 2 Bikes,
Rs. 4.25 Cr,"Dholahiti, Lalitpur",,5,4,,13 Feet,East,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 4 Cr,"Dholahiti, Lalitpur",,7,4,,13 Feet,South-East,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 8 Cr,"Kusunti, Lalitpur",,5,4,,20 Feet,North-West,2.5,5 Cars  & 3 Bikes,Un-Furnished
Rs. 3.5 Cr,"Dholahiti, Lalitpur",,10,1,300 Sq. Ft.,13 Feet,North-East,3.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 7.2 Cr,"Teku, Kathmandu",,6,4,,12 Feet,North-East,2.5,5 Bikes,
Rs. 3.25 Cr,"Satdobato, Lalitpur",,4,3,1000 Sq. Ft.,13 Feet,South-East,2.5,1 Car  & 3 Bikes,
Rs. 2.4 Cr,"Kalanki, Kathmandu",,4,2,1000 Sq. Ft.,13 Feet,South-East,2,2 Bikes,
Rs. 2.1 Cr,"Thaiba, Lalitpur",,4,2,1000 Sq. Ft.,13 Feet,South-East,2,1 Car  & 3 Bikes,
Rs. 4.52 Cr,"Kalanki, Kathmandu",,10,10,1000 Sq. Ft.,10 Feet,North-West,5,1 Car  & 5 Bikes,
Rs. 3.5 Cr,"Mandikhatar, Kathmandu",,4,4,,13 Feet,South-West,2.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 4.5 Cr,"Chamati, Kathmandu",,7,4,,13 Feet,West,3.5,3 Bikes,Semi-Furnished
Rs. 4.45 Cr,"Chhauni, Kathmandu",,6,4,1200 Sq. Ft.,13 Feet,,3,1 Car  & 3 Bikes,Full-Furnished
Rs. 3.89 Cr,"New Baneshwor, Kathmandu",,5,3,1200 Sq. Ft.,12 Feet,North,2.5,1 Car  & 3 Bikes,Full-Furnished
Rs. 4.25 Cr,"Shital Height, Lalitpur",,5,5,2200 Sq. Ft.,13 Feet,North-East,3.5,2 Cars  & 4 Bikes,Full-Furnished
Rs. 6 Cr,"Dholahiti, Lalitpur",,5,4,400 Sq. Ft.,20 Feet,East,2.5,3 Cars  & 2 Bikes,Semi-Furnished
Rs. 5 Cr,"Mahalaxmisthan, Lalitpur",,5,4,200 Sq. Ft.,13 Feet,East,2.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 4.25 Cr,"Imadol, Lalitpur",,6,5,2200 Sq. Ft.,13 Feet,West,3,1 Car  & 3 Bikes,Full-Furnished
Price on call,"Sanepa, Lalitpur",,9,3,,12 Feet,East,2.5,2 Cars  & 4 Bikes,Un-Furnished
Rs. 10.5 Cr,"Sinamangal, Kathmandu",,5,3,,12 Feet,South,2.5,1 Car  & 4 Bikes,Full-Furnished
"Rs. 60,000 /m","Pokhara, Kaski",,6,3,3500 Sq. Ft.,25 Feet,,2.5,2 Cars  & 3 Bikes,Semi-Furnished
Rs. 4.35 Cr,"Harisiddhi, Lalitpur",,6,5,2500 Sq. Ft.,13 Feet,South-West,2.5,3 Cars  & 3 Bikes,Full-Furnished
Rs. 3.6 Cr,"Suryadarshan Height, Kathmandu",,6,4,2800 Sq. Ft.,12 Feet,South,2.5,2 Cars  & 3 Bikes,Semi-Furnished
Rs. 2.6 Cr,"Tikathali, Lalitpur",,6,4,2200 Sq. Ft.,22 Feet,South,3,1 Car  & 5 Bikes,Semi-Furnished
Rs. 3.5 Cr,"Ochu Height, Lalitpur",,6,5,2198 Sq. Ft.,20 Feet,North-West,3,1 Car  & 5 Bikes,Full-Furnished
Rs. 2.15 Cr,"Tikathali, Lalitpur",,4,5,2199 Sq. Ft.,13 Feet,East,2.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 1.25 Lac/y,"Sanepa, Lalitpur",,7,4,,20 Feet,South,2.5,,Semi-Furnished
Rs. 3.85 Cr,"Imadol, Lalitpur",,8,,,13 Feet,South,,2 Cars  & 4 Bikes,Un-Furnished
Rs. 3.5 Cr,"Tikathali, Lalitpur",,6,,,20 Feet,South,3,4 Bikes,Un-Furnished
Rs. 2.95 Cr,"Dhapakhel, Lalitpur",,4,6,2500 Sq. Ft.,10 Feet,South,4,2 Cars  & 2 Bikes,Semi-Furnished
"Rs. 80,000 /m","Besigaun, Kathmandu",,10,3,3300 Sq. Ft.,15 Meter,West,3,3 Bikes,Un-Furnished
Rs. 1.5 Lac/m,"Bhaisepati, Lalitpur",,5,5,1500 Sq. Ft.,18 Feet,North,2.5,3 Cars  & 5 Bikes,Un-Furnished
Rs. 2.1 Cr,"Sitapaila, Kathmandu",,5,2,,13 Feet,,3,1 Car  & 3 Bikes,Semi-Furnished
Rs. 2.9 Cr,"Tokha Saraswoti, Kathmandu",,3,,1059 Sq. Ft.,20 Feet,South,2.5,1 Car  & 4 Bikes,Semi-Furnished
Price on call,"Manamaiju, Kathmandu",,5,4,,20 Feet,South,2.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 3.5 Cr,"Hattigauda, Kathmandu",,9,3,1800 Sq. Ft.,20 Feet,South,3,3 Cars  & 6 Bikes,Un-Furnished
Rs. 8.8 Cr,"Budhanilkantha, Kathmandu",,,,,13 Feet,North,3,,Semi-Furnished
"Rs. 30,000 /m","Kuleshwor, Kathmandu",,2,1,,13 Feet,,2.5,1 Car,Semi-Furnished
Rs. 4.99 Cr,"Chhauni, Kathmandu",,4,4,2400 Sq. Ft.,15 Feet,South,2.5,2 Cars,Semi-Furnished
"Rs. 95,000 /m","Kirtipur, Kathmandu",,5,4,2000 Sq. Ft.,15 Feet,North-East,2.5,2 Cars,Semi-Furnished
Rs. 3.25 Cr,"Imadol, Lalitpur",,6,4,2800 Sq. Ft.,13 Feet,East,2.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 1.3 Cr,"Manigram, Rupandehi",,4,3,800 Sq. Ft.,20 Feet,East,2.5,1 Car  & 3 Bikes,Full-Furnished
Rs. 1.94 Cr,"Suryabinayak, Bhaktapur",,,3,1000 Sq. Ft.,20 Feet,West,3,,Un-Furnished
Price on call,"Bhairahawa, Rupandehi",,2,1,1000 Sq. Ft.,20 Feet,East,1,1 Car  & 9 Bikes,
Rs. 4.85 Cr,"Bhangal , Kathmandu",,6,3,1500 Sq. Ft.,13 Feet,East,2.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 3.5 Cr,"Balkot, Bhaktapur",,,4,2200 Sq. Ft.,13 Feet,West,3,1 Car  & 4 Bikes,Semi-Furnished
Rs. 2.8 Cr,"Imadol, Lalitpur",,6,4,2200 Sq. Ft.,13 Feet,North,3,1 Car  & 4 Bikes,Semi-Furnished
Rs. 2.95 Cr,"Ochu Height, Lalitpur",,6,5,2200 Sq. Ft.,13 Feet,East,3.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.25 Cr,"Shital Height, Lalitpur",,6,5,2200 Sq. Ft.,13 Feet,West,3,1 Car  & 5 Bikes,Semi-Furnished
Rs. 2.35 Cr,"Balkot, Bhaktapur",,5,4,2200 Sq. Ft.,13 Feet,East,3,1 Car  & 4 Bikes,Semi-Furnished
Rs. 2.85 Cr,"Tikathali, Lalitpur",,5,4,,13 Feet,East,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 5.75 Cr,"Bhaisepati, Lalitpur",,4,3,,13 Feet,East,2,3 Cars  & 3 Bikes,Full-Furnished
Rs. 2.2 Cr,"Balambu, Kathmandu",,4,3,2200 Sq. Ft.,20 Feet,South-West,2,1 Car  & 3 Bikes,Semi-Furnished
Rs. 4.25 Cr,"Ochu Height, Lalitpur",,7,5,2200 Sq. Ft.,13 Feet,South,3,1 Car  & 5 Bikes,Full-Furnished
Price on call,"Samakhushi chowk, Kathmandu",,4,4,,16 Feet,East,4,4 Bikes,Semi-Furnished
Rs. 10 Cr,"Budhanilkantha, Kathmandu",,6,2,1500 Sq. Ft.,20 Feet,North,2.5,3 Cars  & 5 Bikes,Un-Furnished
Rs. 7.5 Cr,"Badeli, Kathmandu",,6,3,2000 Sq. Ft.,20 Feet,South,3,6 Cars  & 9 Bikes,Un-Furnished
Rs. 3.3 Cr,"Balkot, Bhaktapur",,6,5,00 Sq. Ft.,13 Feet,East,3,1 Car  & 3 Bikes,Full-Furnished
Rs. 4.2 Cr,"Imadol, Lalitpur",,6,5,,13 Feet,South,3,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.25 Cr,"Pepsicola, Kathmandu",,8,6,,13 Feet,West,3.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 6.2 Cr,"Shantinagar, Kathmandu",,6,5,1800 Sq. Ft.,20 Feet,West,3,3 Bikes,
Rs. 7.5 Cr,"Shantinagar, Kathmandu",,,4,1800 Sq. Ft.,13 Feet,,2.5,2 Cars  & 4 Bikes,
Rs. 1.98 Cr,"Imadol, Lalitpur",,5,2,2200 Sq. Ft.,13 Feet,South-West,2,1 Car  & 4 Bikes,Semi-Furnished
Rs. 12.2 Cr,"Old Baneshwor, Kathmandu",,5,4,1800 Sq. Ft.,13 Feet,West,2.5,2 Cars  & 5 Bikes,
Rs. 4.5 Cr,"Old Baneshwor, Kathmandu",,5,4,1000 Sq. Ft.,13 Feet,West,2.5,1 Car  & 3 Bikes,
Rs. 9.2 Cr,"Shantinagar, Kathmandu",,10,,1800 Sq. Ft.,13 Feet,West,3.5,7 Cars  & 9 Bikes,
Rs. 3.95 Cr,"Sanagaun, Lalitpur",,6,6,2200 Sq. Ft.,13 Feet,East,3,3 Cars  & 4 Bikes,Full-Furnished
Rs. 3.15 Cr,"Rajkulo, Lalitpur",,6,5,2200 Sq. Ft.,13 Feet,North-West,3.5,2 Cars  & 4 Bikes,Full-Furnished
Rs. 14.5 Cr,"Golfutar, Kathmandu",,5,4,1800 Sq. Ft.,13 Feet,,2.5,3 Cars  & 9 Bikes,Semi-Furnished
Rs. 3.5 Cr,"Mandikhatar, Kathmandu",,5,4,1800 Sq. Ft.,13 Feet,South-West,2.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 2.65 Cr,"Bhaisepati, Lalitpur",,6,3,1000 Sq. Ft.,13 Feet,South-East,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 4.8 Cr,"Dhumbarahi, Kathmandu",,14,5,1200 Sq. Ft.,16 Feet,North,5,1 Car  & 1 Bike,Un-Furnished
Rs. 4.1 Cr,"Bhaisepati, Lalitpur",,4,3,,16 Feet,North,2.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 4.5 Cr,"Bhaisepati, Lalitpur",,4,3,,13 Feet,West,2.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 5 Cr,"Bhaisepati, Lalitpur",,4,3,-1 Sq. Ft.,13 Feet,East,2.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 2.2 Cr,"Chitrapur, Bhaktapur",,6,3,630 Sq. Ft.,11 Meter,East,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.65 Cr,"Gothatar, Kathmandu",,6,4,2200 Sq. Ft.,13 Feet,East,2.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 1.75 Cr,"Nallu, Lalitpur",,3,2,1300 Sq. Ft.,20 Feet,South-East,2.5,4 Cars  & 4 Bikes,Semi-Furnished
Rs. 2.1 Cr,"Imadol, Lalitpur",,6,5,00 Sq. Ft.,15 Feet,North-West,2.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 1.4 Cr,"Lamatar, Lalitpur",,3,3,2200 Sq. Ft.,20 Feet,East,2.5,2 Cars  & 3 Bikes,Semi-Furnished
Rs. 1.35 Cr,"Butwal, Rupandehi",,2,2,900 Sq. Ft.,20 Feet,North-West,1,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.65 Cr,"Lasuntar, Kathmandu",,6,5,2200 Sq. Ft.,14 Feet,West,3,1 Car  & 5 Bikes,Semi-Furnished
Rs. 5.3 Cr,"Thamel, Kathmandu",,2,3,500 Sq. Ft.,16 Feet,,6.5,,Semi-Furnished
Rs. 3.3 Cr,"Basantapur, Kathmandu",,,,500 Sq. Ft.,14 Feet,,,,Un-Furnished
Rs. 2.95 Cr,"Bagdol, Lalitpur",,2,2,,,West,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 1.55 Cr,"Siddhipur, Lalitpur",,2,1,,13 Feet,North,1,1 Car  & 4 Bikes,Un-Furnished
Rs. 4.25 Cr,"Lubhu, Lalitpur",,5,5,2798 Sq. Ft.,13 Feet,North,3,1 Car  & 5 Bikes,Full-Furnished
Rs. 3 Cr,"Imadol, Lalitpur",,9,4,,13 Feet,East,3.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 2.5 Cr,"Imadol, Lalitpur",,6,4,,13 Feet,North-East,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.25 Cr,"Imadol, Lalitpur",,5,3,1200 Sq. Ft.,13 Feet,South,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 2.65 Cr,"Tikathali, Lalitpur",,8,6,,13 Feet,South-East,3.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 3.1 Cr,"Tikathali, Lalitpur",,7,4,,13 Feet,South,3,1 Car  & 4 Bikes,Full-Furnished
Rs. 2.65 Cr,"Tikathali, Lalitpur",,7,5,,13 Feet,West,3,1 Car  & 4 Bikes,Semi-Furnished
Rs. 2.7 Cr,"Imadol, Lalitpur",,5,5,,13 Feet,North,3,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.3 Cr,"Lasuntar, Kathmandu",,6,5,2800 Sq. Ft.,13 Feet,South,3,2 Cars  & 5 Bikes,Semi-Furnished
Rs. 3.55 Cr,"Imadol, Lalitpur",,6,5,,13 Feet,East,3.5,1 Car  & 4 Bikes,Semi-Furnished
Price on call,"Goldhunga, Kathmandu",,7,6,1026 Sq. Ft.,8 Feet,West,3.5,1 Car  & 3 Bikes,Un-Furnished
Rs. 3.8 Cr,"Tikathali, Lalitpur",,7,5,2799 Sq. Ft.,26 Feet,South-East,3,1 Car  & 5 Bikes,Semi-Furnished
Rs. 4.35 Cr,"Harisiddhi, Lalitpur",,6,5,1500 Sq. Ft.,13 Feet,West,2.5,3 Cars  & 3 Bikes,Semi-Furnished
Rs. 10 Cr,"Bansbari, Kathmandu",,8,5,3000 Sq. Ft.,13 Feet,,2.5,4 Cars  & 5 Bikes,Full-Furnished
Rs. 3.35 Cr,"Ochu Height, Lalitpur",,5,5,2500 Sq. Ft.,13 Feet,South,3.5,3 Cars  & 4 Bikes,Full-Furnished
Rs. 3.95 Cr,"Sanagaun, Lalitpur",,5,5,3000 Sq. Ft.,13 Feet,East,3.5,3 Cars  & 5 Bikes,Full-Furnished
Rs. 3.75 Cr,"Imadol, Lalitpur",,7,5,,20 Feet,West,3.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 5.75 Cr,"Shital Height, Lalitpur",,7,6,,26 Feet,East,3.5,1 Car  & 4 Bikes,Semi-Furnished
Price on call,"Budhanilkantha, Kathmandu",,5,5,4500 Sq. Ft.,13 Feet,South,2.5,5 Cars  & 5 Bikes,Full-Furnished
Rs. 4.5 Cr,"Bhaisepati, Lalitpur",,7,5,,16 Feet,South,2.5,2 Cars  & 2 Bikes,Semi-Furnished
Price on call,"Hattiban, Lalitpur",,6,5,1500 Sq. Ft.,13 Feet,South-West,2.5,3 Cars  & 3 Bikes,Semi-Furnished
Rs. 1.3 Lac/y,"Golfutar, Kathmandu",,5,4,,13 Feet,West,2.5,3 Cars  & 5 Bikes,Un-Furnished
Rs. 2.2 Cr,"Megha City, Kathmandu",,7,3,1200 Sq. Ft.,13 Feet,West,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 4 Lac/m,"Bhaisepati, Lalitpur",,4,4,3500 Sq. Ft.,16 Feet,,2.5,5 Cars  & 5 Bikes,Semi-Furnished
Price on call,"Chapali, Kathmandu",,10,5,4500 Sq. Ft.,13 Feet,South,2.5,10 Cars,Full-Furnished
Rs. 4 Cr,"Ganesh Chowk, Kathmandu",,5,4,,16 Feet,East,3,1 Car  & 3 Bikes,Full-Furnished
Price on call,"Budhanilkantha, Kathmandu",,5,5,3500 Sq. Ft.,13 Feet,East,2.5,10 Cars,Semi-Furnished
Rs. 3.5 Lac/m,"Naxal, Kathmandu",,9,10,6000 Sq. Ft.,20 Feet,East,3,4 Cars  & 5 Bikes,Un-Furnished
Rs. 4.6 Cr,"Bhaisepati, Lalitpur",,5,6,,13 Feet,South-East,2.5,3 Cars  & 4 Bikes,Semi-Furnished
Rs. 4.25 Cr,"Pasikot, Kathmandu",,5,5,2200 Sq. Ft.,14 Feet,South,2.5,1 Car  & 5 Bikes,Semi-Furnished
Price on call,"Bhaisepati, Lalitpur",,6,4,,13 Feet,South,3,3 Cars  & 4 Bikes,Un-Furnished
Rs. 1.85 Cr,"Shital Height, Lalitpur",,4,3,2200 Sq. Ft.,13 Feet,South,2.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 4.2 Cr,"Imadol, Lalitpur",,5,4,00 Sq. Ft.,13 Feet,West,3.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 14 Cr,"Rudreshwor, Kathmandu",,6,2,2000 Sq. Ft.,13 Feet,East,2.5,9 Cars  & 9 Bikes,Un-Furnished
Rs. 11 Cr,"Ganesh Chowk, Kathmandu",,6,2,1500 Sq. Ft.,20 Feet,South,2.5,5 Cars  & 8 Bikes,Un-Furnished
