price,location,property_type,bedrooms,bathrooms,area,road_access,facing,floor,parking,furnish_status
Rs. 3.5 Cr,"Lamatar, Lalitpur",,6,4,,13 Feet,East,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3 Cr,"Grande Hospital, Kathmandu",,6,3,1000 Sq. Ft.,13 Feet,West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.5 Cr,"Ochu Height, Lalitpur",,6,3,,20 Feet,South,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.6 Cr,"Bhaisepati, Lalitpur",,5,3,,13 Feet,South,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.4 Cr,"Shital Height, Lalitpur",,6,4,,13 Feet,East,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 1.8 Cr,"Ochu Height, Lalitpur",,3,2,,13 Feet,South,1.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 3.05 Cr,"Imadol, Lalitpur",,7,5,,13 Feet,East,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.75 Cr,"Imadol, Lalitpur",,6,4,,16 Feet,West,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 3.2 Cr,"Bhandari Marg, Lalitpur",,6,4,,13 Feet,South-West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.5 Cr,"Bhandari Marg, Lalitpur",,6,4,,13 Feet,West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 5.9 Cr,"Shital Height, Lalitpur",,7,4,,20 Feet,West,3.5,2 Cars  & 3 Bikes,Semi-Furnished
Rs. 2.8 Cr,"Lubhu, Lalitpur",,5,4,2400 Sq. Ft.,13 Feet,North-West,3,1 Car  & 4 Bikes,Semi-Furnished
Rs. 2.7 Cr,"Lubhu, Lalitpur",,6,4,,13 Feet,East,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.25 Cr,"Lasuntar, Kathmandu",,6,4,1000 Sq. Ft.,13 Feet,West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 4.75 Cr,"Imadol, Lalitpur",,6,4,,16 Feet,North-West,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 3 Lac/m,"Thasikhel, Lalitpur",,5,2,,,East,2.5,1 Car  & 2 Bikes,Full-Furnished
Rs. 2.95 Cr,"Imadol, Lalitpur",,5,4,,13 Feet,North-East,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.6 Cr,"Imadol, Lalitpur",,6,4,,13 Feet,South,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 3.5 Cr,"Setipakha, Lalitpur",,5,3,,13 Feet,West,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 4.65 Cr,"Shital Height, Lalitpur",,5,3,,13 Feet,South,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 1.8 Cr,"Setipakha, Lalitpur",,4,2,,13 Feet,North,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.8 Cr,"Megha City, Kathmandu",,6,4,1000 Sq. Ft.,13 Feet,West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.5 Cr,"Bhangal , Kathmandu",,6,3,1000 Sq. Ft.,26 Feet,North-East,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 4.25 Cr,"Bhangal , Kathmandu",,6,3,1000 Sq. Ft.,26 Feet,North-East,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 3.85 Cr,"Bhangal , Kathmandu",,6,2,1000 Sq. Ft.,13 Feet,South,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 9.5 Cr,"Imadol, Lalitpur",,8,6,4500 Sq. Ft.,16 Feet,North-West,3.5,3 Cars  & 5 Bikes,Full-Furnished
Rs. 3 Cr,"Dhapakhel, Lalitpur",,10,3,2456 Sq. Ft.,13 Feet,North-East,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.75 Cr,"Tikathali, Lalitpur",,8,6,,13 Feet,North-West,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.95 Cr,"Tikathali, Lalitpur",,4,5,3100 Sq. Ft.,13 Feet,North-West,3,1 Car  & 4 Bikes,Full-Furnished
Rs. 2.65 Cr,"Lubhu, Lalitpur",,5,3,,13 Feet,South,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.25 Cr,"Tikathali, Lalitpur",,6,4,,13 Feet,South,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.5 Cr,"Banasthali, Kathmandu",,,,,,,3,1 Car,
Rs. 2.65 Cr,"Tikathali, Lalitpur",,6,4,,13 Feet,South,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.4 Cr,"Lasuntar, Kathmandu",,6,4,1000 Sq. Ft.,13 Feet,West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.5 Cr,"Ochu Height, Lalitpur",,6,6,,13 Feet,North-East,3.5,1 Car  & 3 Bikes,Full-Furnished
Rs. 2.7 Cr,"Tikathali, Lalitpur",,5,4,,13 Feet,East,3.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 2.5 Cr,"Bhaisepati, Lalitpur",,4,3,,13 Feet,South,2,1 Car  & 2 Bikes,Semi-Furnished
"Rs. 40,000 /m","Thaiba, Lalitpur",,4,3,,13 Feet,South,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 1.6 Lac/m,"Bhaisepati, Lalitpur",,4,3,,13 Feet,South-East,2.5,1 Car  & 2 Bikes,Full-Furnished
Rs. 1.5 Lac/m,"Hattiban, Lalitpur",,4,3,,13 Feet,South,2,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.44 Cr,"Tikathali, Lalitpur",,6,4,,13 Feet,South,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 4.5 Cr,"Lubhu, Lalitpur",,5,3,,13 Feet,South-West,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.35 Cr,"Ochu Height, Lalitpur",,6,4,,20 Feet,East,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 3.2 Cr,"Chunikhel, Kathmandu",,5,3,,11 Feet,North-West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 4.5 Cr,"Chunikhel, Kathmandu",,5,3,,13 Feet,North-West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.75 Cr,"Imadol, Lalitpur",,5,3,,13 Feet,North,3.5,1 Car  & 3 Bikes,Full-Furnished
Rs. 2.75 Cr,"Lubhu, Lalitpur",,6,5,,13 Feet,South-West,2.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 2.25 Cr,"Tikathali, Lalitpur",,5,2,,13 Feet,,2.5,,
Rs. 1.3 Cr,"Imadol, Lalitpur",,3,2,,13 Feet,East,3,,Un-Furnished
Rs. 2.5 Cr,"Dhapakhel, Lalitpur",,5,4,2300 Sq. Ft.,20 Feet,West,2.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 7.35 Cr,"New Baneshwor, Kathmandu",,6,6,4000 Sq. Ft.,14 Feet,South-West,3.5,3 Cars  & 5 Bikes,Full-Furnished
Rs. 2.2 Cr,"Imadol, Lalitpur",,5,4,,13 Feet,North-East,3.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 2.75 Cr,"Harisiddhi, Lalitpur",,5,4,,20 Feet,West,3.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 2.9 Cr,"Tikathali, Lalitpur",,6,4,,13 Feet,South,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 3.45 Cr,"Tikathali, Lalitpur",,2,3,,10 Feet,South,2.5,5 Cars  & 3 Bikes,Semi-Furnished
Rs. 3.3 Cr,"Imadol, Lalitpur",,6,5,13 Sq. Ft.,,,3.5,2 Cars  & 5 Bikes,Semi-Furnished
Rs. 2.9 Cr,"Imadol, Lalitpur",,7,4,,13 Feet,North-East,3.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 2.55 Cr,"Bishundole, Lalitpur",,6,2,,11 Feet,North,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 4.65 Cr,"Dholahiti, Lalitpur",,6,5,,13 Feet,West,3.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 6.95 Cr,"Imadol, Lalitpur",,5,5,,13 Feet,North-East,3,3 Cars  & 5 Bikes,Full-Furnished
Rs. 2.2 Cr,"Lubhu, Lalitpur",,6,4,,13 Feet,West,3.5,1 Car  & 3 Bikes,Un-Furnished
Rs. 3.25 Cr,"Tikathali, Lalitpur",,5,4,,14 Feet,South-West,3.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 2.75 Cr,"Tikathali, Lalitpur",,6,5,,13 Feet,North,3.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 1.95 Cr,"Dhapakhel, Lalitpur",,5,3,,20 Feet,East,2.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 1.95 Cr,"Dhapakhel, Lalitpur",,5,3,,20 Feet,East,2.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 1.65 Cr,"Dhapakhel, Lalitpur",,6,2,,4 Feet,East,2.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 3.25 Cr,"Dhapakhel, Lalitpur",,5,5,,16 Feet,East,2.5,3 Cars  & 5 Bikes,Full-Furnished
Rs. 4.1 Cr,"Setipakha, Lalitpur",,5,3,,22 Feet,North,4,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.8 Cr,"Lubhu, Lalitpur",,7,5,,13 Feet,East,3,1 Car  & 3 Bikes,Semi-Furnished
Rs. 1.7 Cr,"Siddhipur, Lalitpur",,3,2,,11 Feet,North-East,1.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 4.5 Cr,"Shital Height, Lalitpur",,4,3,,13 Feet,South,3,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.75 Cr,"Rajkulo, Lalitpur",,5,6,3075 Sq. Ft.,13 Feet,West,3.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 1.62 Cr,"Lubhu, Lalitpur",,2,1,800 Sq. Ft.,13 Feet,North,1.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 4.35 Cr,"Tikathali, Lalitpur",,6,5,,13 Feet,,3.5,1 Car  & 3 Bikes,Full-Furnished
Rs. 3.3 Cr,"Tikathali, Lalitpur",,6,5,,13 Feet,North,3.5,2 Cars  & 5 Bikes,Full-Furnished
Rs. 3.75 Cr,"Shital Height, Lalitpur",,5,4,2900 Sq. Ft.,13 Feet,West,3,1 Car  & 4 Bikes,Full-Furnished
Rs. 4.99 Cr,"Jharuwarasi, Lalitpur",,5,5,2900 Sq. Ft.,20 Feet,South,2.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 3.15 Cr,"Tikathali, Lalitpur",,6,4,3600 Sq. Ft.,13 Feet,South,3.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 4.8 Cr,"Bhaisepati, Lalitpur",,7,5,,13 Feet,West,3.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 4.75 Cr,"Bhaisepati, Lalitpur",,4,5,,14 Feet,East,2.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 3 Cr,"Ochu Height, Lalitpur",,5,5,2400 Sq. Ft.,13 Feet,South,3,1 Car  & 5 Bikes,Full-Furnished
Rs. 5.9 Cr,"Dholahiti, Lalitpur",,5,5,3600 Sq. Ft.,20 Feet,North-West,3,2 Cars  & 4 Bikes,Full-Furnished
Rs. 5.85 Cr,"Dholahiti, Lalitpur",,7,3,,12 Feet,South,3.5,2 Cars  & 5 Bikes,Full-Furnished
Rs. 2.6 Cr,"Bhaisepati, Lalitpur",,5,3,,13 Feet,South,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.1 Cr,"Megha City, Kathmandu",,6,4,1000 Sq. Ft.,13 Feet,South-East,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 2.75 Cr,"Bhandari Marg, Lalitpur",,6,4,,13 Feet,South,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.5 Cr,"Ochu Height, Lalitpur",,5,3,,13 Feet,South,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.7 Cr,"Sai Baba Chowk, Kathmandu",,6,2,1000 Sq. Ft.,13 Feet,East,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 3.99 Cr,"Chunikhel, Kathmandu",,6,4,,13 Feet,North-East,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.9 Cr,"Megha City, Kathmandu",,6,4,1000 Sq. Ft.,13 Feet,South-East,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.8 Cr,"Bhandari Marg, Lalitpur",,5,3,,13 Feet,North-East,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.65 Cr,"Ochu Height, Lalitpur",,6,4,,20 Feet,West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.5 Cr,"Sanagaun, Lalitpur",,11,4,,16 Feet,South-East,2.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 3.25 Cr,"Shital Height, Lalitpur",,6,4,,13 Feet,North,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 3.3 Cr,"Baniyatar, Kathmandu",,6,4,1200 Sq. Ft.,14 Feet,North-East,3,1 Car  & 2 Bikes,Un-Furnished
